table_name,label
1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10,0
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2,2
68779923_2_1000046510804975562,3
71137051_0_8039724067857124984,4
39650055_5_7135804139753401681,5
64207896_0_3206705146602325658,6
90593344_0_8311455501234425088,7
41839679_0_3009344178474568371,6
12125836_0_1134348206297032434,8
2066887_0_746204117268168398,9
24859353_0_7027810986004269522,10
37856682_0_6818907050314633217,11
29414811_13_8724394428539174350,12
55961337_0_6548713781034932742,10
5873256_0_7795190905731964989,13
12183399_0_6725061928072492226,3
77632062_0_2292892375652659825,14
41648740_0_6959523681065295632,3
54773498_0_4341462266113591159,15
19654359_0_3020273135042459469,16
70515524_0_5425995199745290007,6
79966524_0_1484492112455633784,17
77694908_0_6083291340991074532,18
8286121_0_8471791395229161598,3
40844462_1_6230938203735169234,18
40534006_0_4617468856744635526,19
34041816_1_4749054164534706977,16
35188621_0_6058553107571275232,18
28423212_0_2742990779532526553,5
76275868_0_4528346580716713695,3
73988811_0_2775758476756716904,18
74718406_0_3914457597478137388,16
38390205_1_8150763005563658139,20
12151277_0_1262954734066545952,20
64734047_0_5880705307495695536,20
38732532_0_1420803645394505878,6
76373906_0_6904594838446307331,21
4501311_8_8306082458935575308,12
47709681_0_4437772923903322343,12
12193237_0_8699643798888088574,3
9686394_0_5980699488362107028,16
24142265_0_4577466141408796359,12
53989675_0_8697482470743954630,22
19361188_0_1640726405141876003,7
43226272_0_5995103035300388365,20
3887681_0_7938589465814037992,22
78005071_0_8643954006825971723,21
13719111_1_5719401842463579519,4
84548468_0_5955155464119382182,18
33401079_0_9127583903019856402,23
41819807_0_3139249984404131679,22
63450419_0_8012592961815711786,24
32051842_5_1757891723986774036,25
88732174_0_7321365014357502211,26
98312357_0_6395417306876145729,6
75154185_0_1607627349983289012,14
74685423_0_8061289760697103949,4
4444204_0_951426790527152756,14
39107734_2_2329160387535788734,16
21329809_0_5526008408364682899,14
8009320_0_5507755752653817624,3
90723763_0_874013697986950454,5
86297395_0_6919201319699354263,3
29021592_4_4348860179678308511,6
11688006_0_8123036130090004213,3
25404227_0_2240631045609013057,18
37541068_1_1156932518917623732,26
79327346_0_5787863739697336601,3
39759273_0_1427898308030295194,18
14380604_4_3329235705746762392,5
26310680_0_5150772059999313798,10
71840765_0_6664391841933033844,22
12271141_0_8517913935669973086,5
29414811_2_4773219892816395776,12
45073662_0_3179937335063201739,26
29412826_0_3422707769191426540,25
19272019_0_1508498249156534553,27
37815699_0_8391788584341609964,23
41480166_0_6681239260286218499,9
6869358_0_1379459120563510331,28
55238374_0_3379409961751009152,3
61121469_0_6337620713408906340,3
41194422_0_7231546114369966811,3
10630177_0_4831842476649004753,15
67865873_0_8259587610208037357,3
51741865_0_9203644246202164492,8
20135078_0_7570343137119682530,18
50245608_0_871275842592178099,18
21337553_0_8832378999628437599,7
1614988_0_8789868670151796042,29
43469354_0_6029017163991310319,14
11833461_1_3811022039809817402,12
38428277_0_1311643810102462607,18
54719588_0_8417197176086756912,18
52208141_2_5171684379987586712,25
14311244_0_7604843865524657408,7
9567241_0_5666388268510912770,30
28646774_0_3256889721737611537,21
16767252_0_2409448375013995751,18
24417511_0_3058323105166963431,26
86627271_6_2239821927452848323,22
53583534_0_503521622577229691,15
57943722_0_8666078014685775876,3
70404164_0_5498195978476333642,14
3962429_0_3452614694863053249,31
29414811_12_251152470253168163,12
96203994_0_2127964719640427252,5
64499281_8_7181683886563136802,25
57938705_0_8737506792349461963,12
21333456_2_1886495893795687264,29
68442591_0_8506821153001360777,20
45593932_0_6869375743660252130,29
92896255_0_4593968708343548527,24
22864497_0_8632623712684511496,12
39606331_0_1646213676302448706,21
28079336_2_2139598421036200532,5
32812626_0_5428724146873158593,20
11278409_0_3742771475298785475,5
28494901_6_7026744149694237309,29
3917335_0_7791699395300625164,3
24850757_0_5978004733768297283,3
98458255_0_5873264818593370400,32
44005578_0_5400481538370055338,21
28154036_0_909001972154294543,21
4730513_0_8573199053866072336,29
49801939_0_6964113429298874283,7
62564020_0_3836030043284699244,17
9834884_0_3871985887467090123,25
34899692_0_6530393048033763438,3
49087820_0_461228320225084868,10
33242247_1_7232384061498591611,33
10151359_0_8168779773862259178,34
36039980_4_4283009829602711082,7
9206866_1_8114610355671172497,3
54112392_0_160015365721559357,22
28036255_0_5705563063166785494,7
61069974_0_1894536874590565102,10
25933880_0_4058554985574416690,19
51130304_0_3035822254995425429,6
39173938_0_7916056990138658530,18
70883081_0_5357790421435123524,21
74491133_0_7177831100884797849,3
66329615_0_3585856495110277641,12
64092785_0_4696367782987533337,5
63389809_0_8179819543692215824,5
68779923_5_2067037721454758189,3
29857217_0_961038783966485949,30
66009064_0_9148652238372261251,26
29414811_6_8221428333921653560,12
60319454_0_3938426910282115527,17
99070098_0_2074872741302696997,7
21245481_0_8730460088443117515,22
18422942_0_3659164506677528063,35
13357355_0_5384862281417742530,36
28079336_1_3124145965038277571,5
16949304_0_2573050770332101882,20
56224555_0_3713922722778385817,5
91959037_0_7907661684242014480,12
21362676_0_6854186738074119688,18
44206774_0_3810538885942465703,37
89511064_0_2199624509082573904,3
86747932_0_7532457067740920052,13
41194422_1_1172256090552737974,3
69381058_0_984708047398578866,7
48944826_0_2321751364268052533,12
93702496_0_39013305210829591,5
32460905_0_5195150472060854231,20
48456557_0_3760853481322708783,17
52572391_0_8684896999787304275,5
68779923_4_1832350971585698643,3
9475172_1_1023126399856690702,38
90196673_0_5458330029110291950,17
21801207_0_8144839668470123042,12
27466715_0_3913547177671701530,12
26270372_1_3774607938887520564,6
91474256_0_964747655387573523,14
88353875_0_4876234304797064286,7
78650283_0_5937576517849452289,10
50270082_0_444360818941411589,26
88523363_0_8180214313099580515,24
69881946_0_1105130426898457358,18
53822652_0_5767892317858575530,18
55004961_0_2904467548072189860,3
21585935_0_294037497010176843,16
10579449_0_1681126353774891032,30
1146722_1_7558140036342906956,7
68779923_1_3240042497463101224,3
80184932_0_4240003884724905487,5
90325533_0_6668263142989366843,20
98929678_0_3700213490979945526,22
29021592_3_2299138476894681059,6
75367212_2_2745466355267233390,12
22987653_0_7774852112768859306,29
76836443_2_249332777049648171,29
72017594_0_7055198579167316152,25
30645756_0_2413317245475669227,21
55027702_0_628532586316851176,22
61753761_9_4735181228515289890,25
36102169_0_7739454799295072814,12
46671561_0_6122315295162029872,12
43237185_1_3636357855502246981,29
61626303_0_266372209664087642,8
30166286_0_1837439231599898748,29
29886325_0_1448173912684571475,14
19073331_0_2742992342272078110,21
13395751_3_369722706637560735,22
45533669_1_7463037039059239824,8
80588006_0_6965325215443683359,30
52299421_0_4473286348258170200,3
5972322_0_3150366936082777235,33
28086084_0_3127660530989916727,9
58891288_0_1117541047012405958,18
78891639_0_3299957631631122948,14
24036779_0_5608105867560183058,3
42764224_0_515744189130384109,21
69537082_0_7789694313271016902,3
73242003_5_4847571983313033360,12
84575189_0_6365692015941409487,32
46646666_0_5802598112171303204,8
3389822_6_374624044314151266,7
11599512_1_280388135214354946,3
28993628_1_6072768612274729703,7
84675086_0_6386416780680710863,4
15700884_0_8204220284166767221,5
93078729_0_1451251196788678526,22
12746760_0_6703465836620308483,21
7929299_0_3253718003116029649,16
33167985_0_5220049369716352813,39
97941125_0_8220652154649529701,10
8468806_0_4382447409703007384,22
49772588_0_6549847739640234347,3
14067031_0_559833072073397908,3
48805028_0_8933391169600128370,4
41336118_0_4331895026409635103,5
68779923_0_3859283110041832023,3
